//TagName	Language	Translation	creation date yyyymmdd	Comments
//  GS ShopBuilder, Copyright (c) 2003 by GS Software AG, Dortmund (www.gs-shopbuilder.com) - Do not remove this copyright notice!			date20020101	
// ?2003 GS ShopBuilder - Droits de traduction réservés pour tous les pays. 			date20020102	
// ?2003 GS ShopBuilder - All Rights Reserved.		All translations rights reserved.	date20020103	
// ?2003 GS ShopBuilder - Todos los Derechos quedan reservados. 	 	Todas los derechos de traducción reservados.	date20020104	
// ?2003 GS ShopBuilder - Alle Rechte vorbehalten.	 	Alle ?bersetzungsrechte vorbehalten.	date20020105	
// ?2003 GS ShopBuilder - Alle Rechten Voorbehouden. 	 		date20020106	
// ?2003 GS ShopBuilder - Med ensamr?tt.	 	 	date20020107	sv
// ?2003 GS ShopBuilder - Tutti i Diritti Riservati. 	 	Tutti i diritti di traduzione riservati.	date20020108	
// ?2003 GS ShopBuilder - Todos os Direitos Reservados.	 	Todas os direitos de tradu??o reservados.	date20020109	
// ?2003 GS ShopBuilder - Med eneret.	 chs	版权所有	date20020110	dk
	cht	版?所有	date20020111	
			date20020112	
//hungarian	hun	Kosár megtekintése	date20020113	
//Czech	csy	Czech	date20020114	
//Slovak	sky	Slovak	date20020114	
//Swedish	sve	Swedish	date20020114	
//Hongkong	zhh	繁?中文	date20020115	
//Macau	zhm	繁?中文	date20020115	
//China	chs	简体中文	date20020115	
//Singapore	zhi	简体中文	date20020115	
//Taiwan	cht	繁?中文	date20020115	
//   	 	 	date20020115	
			date20020101	
LangTagBasket	deu	Warenkorb	date20030201	LinkMenü/Tabellenüberschrift
LangTagBasket	xxx	Basket	date20030202	
LangTagBasket	chs	购物车	date20020203	
LangTagBasket	cht	?物?	date20020203	
LangTagOrder	deu	Bestellformular	date20030204	LinkMenü/Tabellenüberschrift
LangTagOrder	xxx	Order Form	date20030205	
LangTagOrder	fra	Commande 	date20030206	
LangTagOrder	chs	订单表格/结帐	date20020101	
LangTagOrder	cht	??表格/??	date20020101	
LangTagShipment	deu	Lieferbedingungen	date20030207	LinkMenü/Tabellenüberschrift
LangTagShipment	xxx	Delivery	date20030208	
LangTagShipment	fra	Livraison	date20030209	
LangTagShipment	chs	发送服务	date20020101	
LangTagShipment	cht	?送服?	date20020101	
LangTagInfo	deu	Info	date20030210	LinkMenü/Tabellenüberschrift
LangTagInfo	xxx	Info	date20030211	
LangTagInfo	fra	Info	date20030212	
LangTagInfo	chs	Info	date20020101	
LangTagInfo	cht	Info	date20020101	
LangTagTermsAndCond	deu	AGB	date20030213	LinkMenü/Tabellenüberschrift
LangTagTermsAndCond	xxx	Conditions	date20030214	
LangTagTermsAndCond	fra	Conditions	date20030215	
LangTagTermsAndCond	chs	条款	date20020101	
LangTagTermsAndCond	cht	?款	date20020101	
LangTagImprint	deu	Impressum	date20030216	LinkMenü/Tabellenüberschrift
LangTagImprint	xxx	Imprint	date20030217	
LangTagImprint	fra	Impressum	date20030218	
LangTagImprint	chs	版本说明	date20020101	
LangTagImprint	cht	版本?明	date20020101	
LangTagSitemap	deu	Sitemap	date20030219	LinkMenü/Tabellenüberschrift
LangTagSitemap	xxx	Sitemap	date20030220	
LangTagSitemap	fra	Plan du site	date20030221	
LangTagSitemap	chs	网页地图	date20020101	
LangTagSitemap	cht	??地?	date20020101	
LangTagEmail	deu	Email	date20030222	LinkMenü
LangTagEmail	xxx	Email	date20030223	
LangTagEmail	fra	Email	date20030224	
LangTagEmail	chs	E-mail	date20020101	
LangTagEmail	cht	E-mail	date20020101	
LangTagHome	deu	Home	date20030225	LinkMenü/Tabellenüberschrift
LangTagHome	xxx	Home	date20030226	
LangTagHome	fra	Accueil	date20030227	
LangTagHome	chs	首页	date20020101	
LangTagHome	cht	首?	date20020101	
//LangTagTextQuantity	deu	Menge	date20030301	
//LangTagTextQuantity	xxx	Quantity	date20030301	
