// ©2003 GS ShopBuilder - Todos los Derechos quedan reservados. 	 	Todas los derechos de traducción reservados.	date20020104	
// ©2003 GS ShopBuilder - Alle Rechte vorbehalten.	 	Alle Übersetzungsrechte vorbehalten.	date20020105	
// ©2003 GS ShopBuilder - Alle Rechten Voorbehouden. 	 		date20020106	
// ©2003 GS ShopBuilder - Med ensamrätt.	 	 	date20020107	sv
// ©2003 GS ShopBuilder - Tutti i Diritti Riservati. 	 	Tutti i diritti di traduzione riservati.	date20020108	
// ©2003 GS ShopBuilder - Todos os Direitos Reservados.	 	Todas os direitos de tradução reservados.	date20020109	
// ©2003 GS ShopBuilder - Med eneret.	 	 	date20020110	dk
//LangTagT//extSaveData	dan	Gem indtastede data	date20030218	Tabellenüberschrift buy3.htm
//LangTagTextQuantity	dan	Antal	date20030218	
LangTagAccountHolder	dan	Kontoindehaver	date20030218	
LangTagAccountNumber	dan	Kontonummer	date20030218	
LangTagBankCodeNumber	dan	Reg.nr.	date20030218	
LangTagBasket	dan	Indkøbskurv	date20030218	LinkMenü/Tabellenüberschrift
LangTagButtonBack	dan	Tilbage	date20030218	Buttonbeschriftung buy2
LangTagButtonBackToOrder	dan	Ret	date20030218	Seite buy3
LangTagButtonCloseWindow	dan	Luk vindue	date20030218	Buttonbeschriftung cond
LangTagButtonCond	dan	AGB	date20030218	Buttonbeschriftung buy2
LangTagButtonOrderForm	dan	Til bestillingsformularen	date20030218	Buttonbeschriftung Seite basket, buy
LangTagButtonPrintConditions	dan	Udskriv forretningsbetingelser	date20030218	Buttonbeschriftung cond
LangTagButtonPrintOrder	dan	Udskriv ordren	date20030218	Buttonbeschriftung buy3
LangTagButtonSearch	dan	Søg	date20030218	Buttonbeschriftung Suche
LangTagButtonSubmit	dan	Send bestilling	date20030218	Buttonbeschriftung buy2, buy3
LangTagCheckboxConditions	dan	Alm. forretningsbetingelser	date20030218	
LangTagCheckboxConditionsValue	dan	læst	date20030218	
LangTagCreditCard	dan	Kreditkort	date20030218	
LangTagCreditCardHolder	dan	Kreditkartenindehaver	date20030218	
LangTagCreditCardNumber	dan	Kortnummer	date20030218	
LangTagDetails	dan	Detaljer	date20030218	
LangTagEmail	dan	Email	date20030218	LinkMenü
LangTagExpirationDate	dan	Gyldig til	date20030218	
LangTagFieldAddress	dan	Adresse	date20030218	
LangTagFieldAddress2	dan	Adresse 2	date20030218	
LangTagFieldCity	dan	By	date20030218	
LangTagFieldCompany	dan	Firma	date20030218	
LangTagFieldEmail	dan	Email	date20030218	
LangTagFieldFax	dan	Fax	date20030218	
LangTagFieldFirstName	dan	Fornavn	date20030218	
LangTagFieldFormToAddress	dan	Titel	date20030218	
LangTagFieldLastName	dan	Efternavn	date20030218	
LangTagFieldPhone	dan	Telefon	date20030218	
