TagName	Sprache	Uebersetzung	creation date yyyymmdd	Position
LangTagBasket	deu	Warenkorb	date20030218	LinkMenü/Tabellenüberschrift
LangTagBasket	eng	Basket	date20030218	
LangTagBasket	esp	Cesta	date20030218	
LangTagOrder	deu	Bestellformular	date20030218	LinkMenü/Tabellenüberschrift
LangTagOrder	eng	Order Form	date20030218	
LangTagOrder	esp	Formulario de pedido	date20030218	
LangTagShipment	deu	Lieferbedingungen	date20030218	LinkMenü/Tabellenüberschrift
LangTagShipment	eng	Delivery	date20030218	
LangTagShipment	esp	Condiciones de envío	date20030218	
LangTagInfo	deu	Info	date20030218	LinkMenü/Tabellenüberschrift
LangTagInfo	eng	Info	date20030218	
LangTagInfo	esp	Info	date20030218	
LangTagTermsAndCond	deu	AGB	date20030218	LinkMenü/Tabellenüberschrift
LangTagTermsAndCond	eng	Conditions	date20030218	
LangTagTermsAndCond	esp	Condiciones generales	date20030218	
LangTagImprint	deu	Impressum	date20030218	LinkMenü/Tabellenüberschrift
LangTagImprint	eng	Imprint	date20030218	
LangTagImprint	esp	Impressum	date20030218	
LangTagSitemap	deu	Sitemap	date20030218	LinkMenü/Tabellenüberschrift
LangTagSitemap	eng	Sitemap	date20030218	
LangTagSitemap	esp	Sitemap	date20030218	
LangTagEmail	deu	Email	date20030218	LinkMenü
LangTagEmail	eng	Email	date20030218	
LangTagEmail	esp	Email	date20030218	
LangTagHome	deu	Home	date20030218	LinkMenü/Tabellenüberschrift
LangTagHome	eng	Home	date20030218	
LangTagHome	esp	Inicio	date20030218	
LangTagProductGroups	deu	Warengruppen	date20030218	Tabellenüberschrift
LangTagProductGroups	eng	Product Groups	date20030218	
LangTagProductGroups	esp	Categorias	date20030218	
LangTagNews	deu	News	date20030218	Tabellenüberschrift
LangTagNews	eng	News	date20030218	
LangTagNews	esp	News	date20030218	
LangTagButtonSearch	deu	Suchen	date20030218	Buttonbeschriftung Suche
LangTagButtonSearch	eng	Search	date20030218	
LangTagButtonSearch	esp	Búsqueda rápida	date20030218	
LangTagButtonOrderForm	deu	Weiter zum Bestellformular	date20030218	Buttonbeschriftung Seite basket, buy
LangTagButtonOrderForm	eng	Go forward to Order Form	date20030218	
LangTagButtonOrderForm	esp	Ir al formulario de pedido	date20030218	
LangTagButtonSubmit	deu	kostenpflichtig bestellen	date20030218	Buttonbeschriftung buy2, buy3
LangTagButtonSubmit	eng	charge order	date20030218	
LangTagButtonSubmit	esp	Enviar pedido	date20030218	
LangTagButtonCond	deu	AGB	date20030218	Buttonbeschriftung buy2
LangTagButtonCond	eng	Conditions	date20030218	
LangTagButtonCond	esp	Condiciones generales	date20030218	
LangTagButtonPrintOrder	deu	Bestellung drucken	date20030218	Buttonbeschriftung buy3
LangTagButtonPrintOrder	eng	Print Order	date20030218	
LangTagButtonPrintOrder	esp	Imprimir el pedido	date20030218	
LangTagButtonPrintConditions	deu	AGB drucken	date20030218	Buttonbeschriftung cond
LangTagButtonPrintConditions	eng	Print Conditions	date20030218	
LangTagButtonPrintConditions	esp	Imprimir las condiciones generales	date20030218	
LangTagButtonCloseWindow	deu	Fenster schließen	date20030218	Buttonbeschriftung cond
LangTagButtonCloseWindow	eng	Close Window	date20030218	
LangTagButtonCloseWindow	esp	Cerrar la ventana	date20030218	
LangTagButtonBack	deu	Zurück	date20030218	Buttonbeschriftung buy2
LangTagButtonBack	eng	Back	date20030218	
LangTagButtonBack	esp	Atrás	date20030218	
LangTagButtonBackToOrder	deu	Korrigieren	date20030218	Seite buy3
LangTagButtonBackToOrder	eng	Back to Order Form	date20030218	
LangTagButtonBackToOrder	esp	Corrigir	date20030218	
LangTagTextDelivery	deu	Versandart	date20030218	Seite buy
LangTagTextDelivery	eng	Delivery	date20030218	
LangTagTextDelivery	esp	Modo de envío	date20030218	
LangTagTextPayment	deu	Zahlungsart	date20030218	Seite buy
LangTagTextPayment	eng	Payment	date20030218	
LangTagTextPayment	esp	Modo de pago	date20030218	
LangTagTextChooseDeliveryPayment	deu	1. Bitte wählen Sie die gewünschte Versand- und Zahlungsart aus: 	date20030218	Seite buy
LangTagTextChooseDeliveryPayment	eng	1. Please choose your Delivery and Payment Conditions: 	date20030218	
LangTagTextChooseDeliveryPayment	esp	1. Seleccione su condiciones de envio y de pago:	date20030218	
LangTagTextPaybox	deu	Paybox - Bezahlen per Handy. Falls Sie per Handy bezahlen möchten, wählen Sie oben als Zahlungsart bitte Paybox aus.	date20030218	
LangTagTextPaybox	eng	Paybox - Pay by mobile. Please choose Paybox as Payment Conditions if you like to pay with your mobile.	date20030218	
